ID,Hotel_name,Marks,City,Satisfaction,Reviews,Price,Distances,Discriptions,Stars,Breakfast
5347,H2 APARTMENT- Gąsiorowskich 4 - Parking Podziemny - Self Check In 24h - MTP Targi - PKP - Sklep Netto w budynku,9.3,Grunwald,Wonderful,301,700,2.2,One-Bedroom Apartment,3,Not included
5351,Sleepway Apartments - English Dream,9.2,StareMiastoDistrict,Wonderful,130,240,0.5,One-Bedroom Apartment,3,Not included
5356,Apartament Old Town View SAUNA&JACUZZI Poznań,9.0,StareMiastoDistrict,Wonderful,51,931,0.45,Superior Apartment with Sauna,3,Not included
5360,"Very Berry - Podgorna 1c - Old City Apartments, check in 24h",9.0,StareMiastoDistrict,Wonderful,328,403,0.4,Superior Apartment,3,Not included
5361,Pensjonat Wrzos,9.2,NoweMiasto,Wonderful,341,179,5,Deluxe Single Room,3,Not included
5369,Hotel Nox,9.2,Ljubljana,Wonderful,1261,414,6.4,Double or Twin Room with Parking,4,Breakfast included
5375,ONE66 Hotel,9.3,Ljubljana,Wonderful,1989,395,3.1,Single Room - Lower Ground Floor,4,Not included
5381,Urban Ring Hotel,9.2,Ljubljana,Wonderful,1125,367,4.3,Double Room with Extra Bed,4,Breakfast included
5383,Urban Boutique Hotel Center,9.0,LjubljanaCityCentre,Wonderful,1938,367,0.3,Standard Twin Room,4,Breakfast included
5384,Ahotel Ljubljana,9.0,Ljubljana,Wonderful,1024,353,2.6,Comfort Twin Room,4,Breakfast included
5391,Hotel Cubo,9.3,LjubljanaCityCentre,Wonderful,826,437,0.4,Single Room,4,Not included
5397,Urban Ring Hotel,9.2,Ljubljana,Wonderful,1125,367,4.3,Double Room with Extra Bed,4,Breakfast included
5398,AZUR ROOMS LJUBLJANA,9.1,Ljubljana,Wonderful,423,249,2.6,Standard Twin Room,3,Breakfast included
5399,Boutique Hostel Angel,9.2,LjubljanaCityCentre,Wonderful,542,108,1.3,Bed in 8-Bed Dormitory Room,0,Not included
5403,OH Apartments & Rooms,9.1,Ljubljana,Wonderful,780,385,1.5,Comfort Double Room with Private Bathroom,3,Not included
5405,Ahotel Ljubljana,9.0,Ljubljana,Wonderful,1024,353,2.6,Comfort Twin Room,4,Breakfast included
5409,Janez Rooms,9.0,Ljubljana,Wonderful,283,310,1.5,Double Room,0,Breakfast included
5410,Hotel Florjančkov Hram,9.3,Ljubljana,Wonderful,700,331,4.8,Standard Single Room,3,Breakfast included
5420,B&B Dvor Tacen,9.2,Ljubljana,Wonderful,492,390,8.1,Standard Double or Twin Room,4,Breakfast included
5423,Boutique Hostel Angel,9.2,LjubljanaCityCentre,Wonderful,542,108,1.3,Bed in 8-Bed Dormitory Room,0,Not included
5425,Hotel Čad,9.3,Ljubljana,Wonderful,358,526,1.9,Standard Double Room,4,Breakfast included
5432,Lesar Hotel Angel - Member of Hip Hotels,9.2,LjubljanaCityCentre,Wonderful,396,578,0.5,Classic Double or Twin Room,4,Breakfast included
5433,MS Sparrow Hostel,9.0,Ljubljana,Wonderful,145,151,2.5,Single Bed in 6-Bed Dormitory Room,0,Not included
5437,Hotel Slamič Ljubljana,9.0,LjubljanaCityCentre,Wonderful,853,618,0.45,Deluxe Double Room,3,Breakfast included
